id	text	tag
boarding_pass-1.png	ETK-305A6746F	B-TNUMBER
boarding_pass-1.png	Alexandre	B-NAME
boarding_pass-1.png	Joseph	I-NAME
boarding_pass-1.png	284	B-NOFLIGHT
boarding_pass-1.png	BY	O
boarding_pass-1.png	Alexandre	B-SNAME
boarding_pass-1.png	Joseph	I-SNAME
boarding_pass-1.png	To:	O
boarding_pass-1.png	Chicago	B-FARRIVAL
boarding_pass-1.png	April	B-FDEPART
boarding_pass-1.png	20,	I-FDEPART
boarding_pass-1.png	2022	I-FDEPART
boarding_pass-1.png	April	B-SFDEPART
boarding_pass-1.png	20,	I-SFDEPART
boarding_pass-1.png	2022	I-SFDEPART
boarding_pass-1.png	GATE	O
boarding_pass-1.png	Boarding	O
boarding_pass-1.png	Time	O
boarding_pass-1.png	GATE	O
boarding_pass-1.png	Boarding	O
boarding_pass-1.png	Time	O
boarding_pass-1.png	Gl	B-GATE
boarding_pass-1.png	10:00	B-BOARDINGTIME
boarding_pass-1.png	AM	I-BOARDINGTIME
boarding_pass-1.png	PST	I-BOARDINGTIME
boarding_pass-1.png	G1	B-SGATE
boarding_pass-1.png	|	O
boarding_pass-1.png	10:00	B-SBOARDINGTIME
boarding_pass-1.png	AM	I-SBOARDINGTIME
boarding_pass-1.png	pst	I-SBOARDINGTIME
boarding_pass-1.png	9	O
boarding_pass-1.png	>	O
boarding_pass-1.png	Oo	O
boarding_pass-1.png	©	O
boarding_pass-1.png	~~	O
boarding_pass-1.png	Ww	O
boarding_pass-1.png	>	O
boarding_pass-1.png		O
boarding_pass-10.png	ETK-331A6748F	B-TNUMBER
boarding_pass-10.png	GATE	O
boarding_pass-10.png	|	O
boarding_pass-10.png	Boarding	O
boarding_pass-10.png	Time	O
boarding_pass-10.png	Gl	B-GATE
boarding_pass-10.png	10:00	B-BOARDINGTIME
boarding_pass-10.png	AM	I-BOARDINGTIME
boarding_pass-10.png	PST	I-BOARDINGTIME
boarding_pass-10.png	9	O
boarding_pass-10.png	>	O
boarding_pass-10.png	wr	O
boarding_pass-10.png	©	O
boarding_pass-10.png	+	O
boarding_pass-10.png	Oo	O
boarding_pass-10.png	Ww	O
boarding_pass-10.png	©	O
boarding_pass-10.png	>	O
boarding_pass-10.png		O
boarding_pass-11.png	From	O
boarding_pass-11.png	From:	O
boarding_pass-11.png	San	B-FDEPART
boarding_pass-11.png	Francisco	I-FDEPART
boarding_pass-11.png	Date	O
boarding_pass-11.png	Baggage	O
boarding_pass-11.png	Seat	O
boarding_pass-11.png	To:	O
boarding_pass-11.png	Chicago	B-FARRIVAL
boarding_pass-11.png	April	B-FDEPART
boarding_pass-11.png	20,	I-FDEPART
boarding_pass-11.png	2022	I-FDEPART
boarding_pass-11.png	April	B-SFDEPART
boarding_pass-11.png	20,	I-SFDEPART
boarding_pass-11.png	2022	I-SFDEPART
boarding_pass-11.png	GATE	O
boarding_pass-11.png	Boarding	O
boarding_pass-11.png	Time	O
boarding_pass-11.png	GATE	O
boarding_pass-11.png	|	O
boarding_pass-11.png	Boarding	O
boarding_pass-11.png	Time	O
boarding_pass-11.png	10:00	B-BOARDINGTIME
boarding_pass-11.png	AM	I-BOARDINGTIME
boarding_pass-11.png	PST	I-BOARDINGTIME
boarding_pass-11.png	G1	B-GATE
boarding_pass-11.png	10:00	B-SBOARDINGTIME
boarding_pass-11.png	AM	I-SBOARDINGTIME
boarding_pass-11.png	PST	I-SBOARDINGTIME
boarding_pass-11.png	9	O
boarding_pass-11.png	>	O
boarding_pass-11.png	wr	O
boarding_pass-11.png	©	O
boarding_pass-11.png	+	O
boarding_pass-11.png	Oo	O
boarding_pass-11.png	Ww	O
boarding_pass-11.png	©	O
boarding_pass-11.png	>	O
boarding_pass-11.png		O
boarding_pass-12.png	Ry	O
boarding_pass-12.png	From:	O
